experiment,trial,top1,top5,batch_size,augmentation_level,freeze_backbone,fine_tune_from_layer,fc_hidden_size,dropout_rate,lr_multiplier_backbone,optimizer,lr,weight_decay,scheduler,step_size,gamma,factor,patience,momentum,warmup_epochs,eta_min,pct_start,div_factor
efficientnet_v2_s,15,0.790099024772644,,64,aggressive,False,none,411,0.3476565870970957,0.13037375017623157,adamw,0.00021812987552234924,0.005084254697982145,cosine,,,,,,,1.0399723603760972e-07,,
efficientnet_v2_s,16,0.5676567554473877,,64,aggressive,False,none,236,0.16808893601332237,0.021576366575301834,adamw,0.0023179763444665263,0.016921960565350922,one_cycle,,,,,,,,0.3,50.0
efficientnet_v2_s,17,0.7919471859931946,,64,aggressive,False,none,315,0.23375014166441832,0.034675690602715165,adamw,0.0006615893899123587,0.00376603319952342,reduce_on_plateau,,,0.1,5.0,,,,,
efficientnet_v2_s,18,0.8376897573471069,,64,aggressive,False,none,244,0.10248735296142555,0.14278135997719335,adamw,0.00026828935110720847,0.017907500957445824,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_s,19,0.760066032409668,,32,minimal,False,features.5,370,0.2936848439103915,0.009106154890413252,adam,0.002862157610256405,0.00043750093983020445,reduce_on_plateau,,,0.5,2.0,,,,,
efficientnet_v2_s,20,0.6781517863273621,,128,aggressive,False,features.6,455,0.36175309893625573,0.13151124484428162,sgd,0.07989932613446935,1.73016351655874e-05,cosine,,,,,0.8104343348906051,,2.1871163290483783e-06,,
efficientnet_v2_s,21,0.6877227425575256,,64,aggressive,False,none,207,0.19529454878174138,0.04497364342119012,adamw,0.0007708273880839858,0.002476945401466371,one_cycle,,,,,,,,0.2,10.0
efficientnet_v2_s,22,0.7899010181427002,,32,randaugment,False,features.5,296,0.3963811574968571,0.9206437253390193,adamw,9.059494097959748e-05,0.0021095838360353568,warmup_cosine,,,,,,5.0,1.5875904433892493e-07,,
efficientnet_v2_s,23,0.7203960418701172,,32,randaugment,False,features.5,274,0.4159138438310528,0.19090533001816565,adamw,0.0001549628845092565,0.0018192684977500534,warmup_cosine,,,,,,10.0,3.8399413965170595e-07,,
efficientnet_v2_s,25,0.7172276973724365,,32,randaugment,False,features.5,336,0.1398149921035961,0.049527200469922074,adamw,0.00014605295091915996,0.00467294158897531,warmup_cosine,,,,,,3.0,5.154451370820969e-07,,
efficientnet_v2_s,26,0.4383498430252075,,32,randaugment,False,features.5,307,0.25953468355875164,0.01143357214260418,adamw,5.192022320091371e-05,0.006934238047123724,warmup_cosine,,,,,,5.0,3.5397284510561573e-07,,
efficientnet_v2_s,28,0.8152475357055664,,32,randaugment,False,features.5,267,0.32624523627256136,0.08484519231224062,adamw,0.0015648206274619203,0.0016861706720400639,warmup_cosine,,,,,,10.0,1.3093310334961408e-06,,
efficientnet_v2_s,29,0.8304950594902039,,64,moderate,False,none,343,0.14792078575823311,0.1749327308717197,adamw,0.0008366535761890684,0.0033187067205842527,reduce_on_plateau,,,0.2,5.0,,,,,
efficientnet_v2_s,30,0.822838306427002,,64,minimal,False,none,402,0.2019796076799773,0.6211806403031701,adamw,0.00034105091653967886,0.005708192359384897,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_s,31,0.7200660109519958,,128,aggressive,False,features.6,209,0.26536563987708517,0.054547447560158176,adam,0.0018706938137393494,0.0006046160272731705,warmup_cosine,,,,,,3.0,3.88410291112636e-06,,
efficientnet_v2_s,32,0.46468648314476013,,32,minimal,False,features.5,360,0.443205626266593,0.10053275434710883,sgd,0.00408123686946237,0.0006993105446289468,step,5.0,0.2,,,0.8448619882930132,,,,
efficientnet_v2_m,0,0.8122772574424744,,64,minimal,False,features.5,135,0.4879639408647978,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
efficientnet_v2_m,1,0.849372923374176,,64,aggressive,False,none,297,0.14881529393791154,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_m,2,0.8430362939834595,,128,moderate,False,none,156,0.4947547746402069,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
efficientnet_v2_m,3,0.8262045979499817,,32,randaugment,False,features.6,137,0.1431565707973218,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
efficientnet_v2_m,4,0.8477887511253357,,32,randaugment,False,features.5,292,0.42720590636899725,0.47811998212329687,adamw,0.0001390546848963277,0.0017367237151593164,warmup_cosine,,,,,,5.0,3.1883397351001856e-07,,
efficientnet_v2_m,5,0.5646204352378845,,32,moderate,False,features.6,183,0.2957811041110252,0.926789840692838,sgd,0.00298727419956384,5.439591236568524e-05,one_cycle,,,,,0.9383611062362534,,,0.1,25.0
efficientnet_v2_m,6,0.7159075736999512,,128,randaugment,False,features.6,484,0.45093574135239245,0.019611076185240744,adamw,0.0005731537801106999,0.0030458224385894067,step,15.0,0.1,,,,,,,
efficientnet_v2_m,7,0.8492408990859985,,128,randaugment,False,none,394,0.3607845038010402,0.016406668852656958,adam,0.0031115931750282638,0.00019918920492197507,cosine,,,,,,,3.3916008494386095e-07,,
efficientnet_v2_m,8,0.6801320314407349,,64,minimal,False,features.5,406,0.21230894497634234,0.005687504751255328,sgd,0.08088298191148205,5.4994264803456034e-05,reduce_on_plateau,,,0.1,2.0,0.9738242341418852,,,,
efficientnet_v2_m,9,0.7029703259468079,,64,randaugment,False,none,413,0.37880629639810726,0.20673164150667198,sgd,0.04170871302599373,0.0006706271090367463,step,10.0,0.5,,,0.9647437405302197,,,,
efficientnet_v2_m,10,0.8343234062194824,,64,aggressive,False,none,261,0.10594871528771761,0.07259148983360236,adamw,0.0005620000511958316,0.03691979171780843,reduce_on_plateau,,,0.5,2.0,,,,,
efficientnet_v2_m,11,0.8452805280685425,,128,aggressive,False,none,366,0.32931639106049165,0.02878873519377647,adam,0.0019575500799074554,1.5657424020089615e-05,cosine,,,,,,,1.2504855205321396e-07,,
efficientnet_v2_m,12,0.8134653568267822,,128,aggressive,False,none,238,0.23711971530652654,0.0674723286320151,adam,0.0015754162909931394,0.0001871755470679819,cosine,,,,,,,8.398022040845235e-06,,
efficientnet_v2_m,13,0.7681187987327576,,128,aggressive,False,none,334,0.232217722624184,0.017301747322810295,adamw,0.001004751162821496,0.013109833200274265,cosine,,,,,,,8.028836717487805e-07,,
efficientnet_v2_m,14,0.8580858111381531,,64,randaugment,False,none,488,0.3160037898064164,0.07969781863783433,adamw,5.370203809578864e-05,0.0900602049993969,one_cycle,,,,,,,,0.2,10.0
efficientnet_v2_m,15,0.7819802165031433,,64,aggressive,False,none,509,0.28480748811198797,0.10216553353680852,adamw,5.1157558643466635e-05,0.08184593994836266,one_cycle,,,,,,,,0.2,10.0
efficientnet_v2_m,16,0.8064026236534119,,64,minimal,False,none,464,0.17157730314733532,0.1324264843841343,adamw,0.00015433736178353414,0.008795188471333254,one_cycle,,,,,,,,0.2,10.0
efficientnet_v2_m,17,0.7577557563781738,,64,moderate,False,none,212,0.26691672988169635,0.043508896676895475,adamw,5.920680639435346e-05,0.01017868773818447,one_cycle,,,,,,,,0.3,50.0
efficientnet_v2_m,18,0.7699009776115417,,64,aggressive,False,features.6,339,0.18749703687348243,0.16188704682406277,adamw,0.00025973238998515906,0.004106486758182398,reduce_on_plateau,,,0.2,5.0,,,,,
efficientnet_v2_m,19,0.6876567602157593,,64,randaugment,False,features.5,294,0.35582343732454313,0.04020899006847235,adamw,9.853359539290798e-05,0.027030025897176683,reduce_on_plateau,,,0.1,2.0,,,,,
efficientnet_v2_m,20,0.763300359249115,,64,aggressive,False,none,459,0.4097964473511103,0.07498386798293148,adamw,0.0002799082684189076,0.0706381634889459,one_cycle,,,,,,,,0.2,10.0
efficientnet_v2_m,21,0.7955775856971741,,128,randaugment,False,none,414,0.33490776724156485,0.01093019931365179,adam,0.003146063728436383,0.0003047982743515373,cosine,,,,,,,1.4459535982129771e-07,,
efficientnet_v2_m,22,0.7361716032028198,,128,randaugment,False,none,374,0.3782947246006406,0.011195139398216746,adam,0.0009324762975728527,0.00035307737438277395,cosine,,,,,,,8.484628141166179e-07,,
efficientnet_v2_m,23,0.7796699404716492,,32,randaugment,False,none,381,0.333590882063526,0.044319212737245844,adam,0.004025972777804797,1.2785940667144152e-05,cosine,,,,,,,2.652187717966283e-06,,
efficientnet_v2_m,24,0.754323422908783,,64,randaugment,False,none,456,0.26764229802478434,0.02653762095516543,adamw,0.0010432979992076542,0.02993676606147473,warmup_cosine,,,,,,10.0,4.4577653385162575e-07,,
convnext_base,1,0.7528052926063538,,64,minimal,False,features.5,135,0.389468448256698,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
convnext_base,2,0.867722749710083,,64,aggressive,False,none,297,0.0927133821956726,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
convnext_base,3,0.7786138653755188,,128,moderate,False,none,156,0.3954104278101811,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
convnext_base,4,0.8058086037635803,,32,randaugment,False,features.6,137,0.08776199944765656,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
convnext_base,6,0.7529373168945312,,64,minimal,False,features.5,135,0.389468448256698,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
